id,title,company,city,salary_min,salary_max,days_posted,title_short,seniority
12463614,Data Analyst Sales (m/w/d),BusinessBike GmbH,Herzogenaurach,49000,68000,,Data analyst,
12433847,Operations Analyst / Business Analyst – Planning & Operations / Data Analyst Capacity Management / Demand & Capacity Analyst,DOT GmbH,Rostock,39000,62000,,Business analyst,
12442527,"Aktuar / Mathematiker / Data Analyst (m/w/d) für das Pricing Sach-, Haftpflicht und Unfallversicherung",RheinLand Versicherungs AG,Neuss,65000,95000,4,Data analyst,
12447989,Data Analyst - Integration von Datenbanken (m/w/d),EOS Holding,Hamburg,53000,73000,4,Data analyst,
12449934,Referent / Data Analyst technisches Reinsurance-Accounting (m/w/d),Allianz Versicherungs-AG,Unterföhring bei München,53000,91000,4,Data analyst,Senior
12464003,Data Analyst*in,Landeshauptstadt Düsseldorf,Düsseldorf,53000,71000,,Data analyst,
12457058,Datenanalyst / Data Analyst - Business Intelligence (m/w/d),Best4Tires GmbH,Höhr-Grenzhausen (bei Koblenz),,,,Data analyst,
12424720,Data Analyst / Controller (m/w/d),Nutwork Handelsgesellschaft mbH,Hamburg,46000,68000,7,Data analyst,
12394951,Data Analyst - HR (w/m/d) in Vollzeit oder Teilzeit,Personalwerk GmbH,Karben,50000,60000,1,Data analyst,
12395764,Data Analyst (m/w/d) Mobilfunk,CHECK24,Köln,54000,73000,1,Data analyst,
12348990,Analytics Engineer/ Data Analyst (m/w/d),beegy GmbH,Mannheim,46500,77100,7,Data engineer,
12390272,Data Analyst (m/w/d),Basics GmbH,Leverkusen,44000,61000,2,Data analyst,
12455928,Data Analyst (w/m/d) Datenmanagement & Data Governance,Bw Bekleidungsmanagement GmbH,Köln,65000,75000,2,Data analyst,
12382690,Data Analyst (m/w/d),Ströer Media Solutions GmbH,"Hamburg, Köln, München",45000,65000,3,Data analyst,
12450124,Data Analyst Sales & Service Potentials (all genders),BNP Paribas S.A.,München,61000,84000,3,Data analyst,
12450121,Data Analyst (m|w|d),PwC Strategy& (Germany) GmbH,"Düsseldorf, Frabkfurt a.M.",,,3,Data analyst,
12445223,Business Data Analyst (m/w/d),ecotel communication ag,Düsseldorf,63000,84000,4,Business analyst,
12445899,Working Student | Data Analyst - Corporate Audit (m/f/d),TRATON SE,München,,,4,Data analyst,Intern
12445018,Financial Data Analyst (m/w/d) - Compliance,IDS GmbH - Analysis and Reporting Services,München,57000,78000,3,Data analyst,
12445419,Business Process Data Analyst (m/w/d)*,Schleswig-Holstein Netz GmbH,"Rendsburg, Quickborn bei Hamburg",,,5,Business analyst,
12286660,Data Analyst | AI-Verhandlungen (w/m/d),Otto GmbH & Co. KGaA,Hamburg,,,6,Data analyst,
12370689,Data Analyst/ Product Owner Reporting (m/w/d),Rote Liste Service GmbH,Frankfurt am Main,41000,66000,6,Data analyst,
12382205,Praktikum Business Data Analyst Controlling,Lidl Stiftung & Co. KG,Neckarsulm,,,3,Business analyst,Intern
12365291,Data Analyst (m/w/d) Human Resources,Creditplus Bank AG,Stuttgart,53000,73000,7,Data analyst,
12432420,"Data Analyst mit Schwerpunkt Geodaten (w/m/d) im Referat „monetäre Umweltökonomische Gesamtrechnungen, Nachhaltigkeitsberichterstattung“ (G25)",Statistisches Bundesamt,Bonn,4629,6635,7,Data analyst,
12426514,Qualitätsingenieur / Data-Analyst (w/m/d),Ilsenburger Grobblech GmbH,Ilsenburg,41000,70000,7,Data analyst,
12355140,Controller/Data Analyst (m/w/d),true fruits GmbH,Bonn,44000,67000,7,Data analyst,
12362041,Business und Data Analyst (m/w/d),B&O Service AG,"Berlin, München",49000,78000,7,Business analyst,
12366043,Industry Analyst / Data Scientist - Market Growth & Financial Modelling,Adobe Systems Europe Limited,"Munich, Bavaria, Germany, Remote, Germany",38000,72000,7,Data analyst,
12382331,IT Data Analyst Palantir Foundry (w/m/d),Netze BW GmbH,"Stuttgart,Karlsruhe",59000,80000,3,Data analyst,
12438080,HR Data Analyst (m/w/d),WERTGARANTIE Group,Hannover,53000,73000,7,Data analyst,
12350466,Data Analyst – Chatbot & Voicebot (w/m/d),ING Deutschland,Frankfurt am Main,50000,71000,7,Data analyst,
12415825,Data Analyst Campaigning (w/m/d),freenet DLS GmbH,Hamburg,46000,62000,7,Data analyst,
12414946,Data Analyst Operations (d/w/m),BavariaDirekt,"Berlin, München",60000,90000,7,Data analyst,
12431549,Praktikum Forschung & Entwicklung – Data Analyst & Data Enthusiast in Künzelsau,Würth Deutschland,Künzelsau,,,7,Data analyst,Intern
12351365,Business Intelligence-/Data Warehouse-Analyst/Entwickler (m/w/x),expert Warenvertrieb GmbH,Langenhagen bei Hannover,43000,67000,7,Business analyst,
12413239,Business/Data Analyst (m/w/d) im Konzerncontrolling,Wüstenrot & Württembergische AG,Kornwestheim,46000,67000,7,Business analyst,
12208215,Data Analyst Pricing & Business Insights (m/w/d),KHS GmbH,Dortmund,48000,79000,21,Business analyst,
12351421,Junior Business Intelligence-/Data Warehouse-Analyst/Entwickler (m/w/x),expert Warenvertrieb GmbH,Langenhagen bei Hannover,42000,67000,7,Business analyst,Junior
12398590,Junior Data Analyst – HR (w/m/d) in Vollzeit oder Teilzeit,Personalwerk GmbH,Karben,40000,50000,1,Data analyst,Junior
12249287,Data Analyst Innovations- und Produktmanagement (m/w/d),DAT Deutsche Automobil Treuhand GmbH,Ostfildern,48000,65000,14,Data analyst,
12010114,Data Analyst Facility Management (m/w/d),Schwarz Corporate Solutions,Neckarsulm,45000,64000,14,Data analyst,
12355241,Data Analyst (m/w/d) – Power BI Consultant,Energieversum GmbH & Co. KG,Steinhagen,54000,65000,7,Data analyst,
12387525,(Junior) Data Analyst (m/w/d),Malteser in Deutschland,Köln,47000,61000,2,Data analyst,Junior
12317650,Working Student Data Analyst (m/f/d),Experteer GmbH,München,,,14,Data analyst,Intern
12290762,Quality Technician / Data Analyst (m/w/d),Adient Metal Forming Technologies GmbH,Solingen,44000,61000,5,Data analyst,
12372994,Senior Data Analyst - KI & Automatisierung (m/w/d),WUND HOLDING GmbH,Titisee-Neustadt,47000,72000,6,Data analyst,Senior
12372978,Senior Data Analyst - KI & Automatisierung (m/w/d),WUND HOLDING GmbH,Sinsheim,47000,72000,6,Data analyst,Senior
12372988,Senior Data Analyst - KI & Automatisierung (m/w/d),WUND HOLDING GmbH,Euskirchen,45000,69000,7,Data analyst,Senior
12450244,Data-Analyst (w/m/d) im E-Commerce,DAS FUTTERHAUS – Franchise GmbH & Co. KG,Elmshorn,46000,62000,3,Data analyst,
12431956,Data Analyst / Spezialist Data Analytics als Operations Expert (m/w/d),VR Payment GmbH,Frankfurt am Main,51000,84000,7,Data analyst,Senior
12365637,Data- und Business-Analyst (w/m/d) private KFZ-Versicherung,VHV Gruppe,Hannover,48000,65000,7,Business analyst,
12431470,(Junior) Data Analyst (w/m/d),MSR Consulting Group GmbH,Köln,40000,51000,7,Data analyst,Junior
11800242,Data Analyst (m/w/d),AVAT Automation GmbH,Tübingen,47200,74600,21,Data analyst,
12435995,Data Analyst & Developer for A320 Family Customer Line (all genders),Adecco Personaldienstleistungen GmbH,Hamburg,,,7,Data analyst,
12435075,Senior Professional Data und BI Analyst (m/w/d),Hays – Interne Karriere bei Uns,"Mannheim, Frankfurt am Main, Köln, München, Stuttgart",65000,90000,7,Data analyst,Senior
12453530,SAP Business Analyst Schwerpunkten Master Data & Finance (w/m/d),VHV Gruppe,Hannover,59000,80000,3,Business analyst,
12464014,Datenanalyst Ressourcen- und Performancesteuerung (w/m/d),EnBW Energie Baden-Württemberg AG,Stuttgart,60000,81000,,Data analyst,
12401659,Datenanalyst Finanzen (w/m/*),GEFA BANK GmbH,Wuppertal,46000,61000,,Data analyst,
12332223,BI & Data Analyst – HR-Software (SaaS),d.vinci HR-Systems GmbH,Hamburg,60000,80000,7,Data analyst,
12221457,Data Warehouse Business Analyst:in / Data Modeler,HDI AG,Hannover,56000,77000,14,Business analyst,
12364127,Referent*in Forschungsdatenmanagement / Data Steward (m/w/d),TH Köln,Köln,52000,74000,7,,Senior
12181054,Data Analyst (m/w/d) mit Schwerpunkt Power BI & SQL,Zeppelin Rental GmbH,Garching bei München,53000,71000,28,Data analyst,
12413567,Datenanalystin/Datenanalyst (w/m/d),Rechnungshof des Landes Baden- Würtemberg,"Karlsruhe, Fellbach, Freiburg, Tübingen",43000,62000,7,Data analyst,
12372871,IT-Systemkoordinator & Datenanalyst (m/w/d),BECKER + PARTNER Personalberatung u. Managementberatung für den Mittelstand,Grevenbroich,45000,70000,3,Data analyst,
12423607,Strategischer Datenanalyst (w/m/d) am Standort Düsseldorf,Kassenärztliche Vereinigung Nordrhein,Düsseldorf,46000,58000,7,Data analyst,
