id,title,company,city,salary_min,salary_max,days_posted
12395091,Data Scientist (w/m/d),50Hertz Transmission GmbH,Berlin,61.000,81.000,1
12447757,Policy Data Scientist (w/m/d) für die evidenzbasierte Politikberatung,Technopolis Deutschland GmbH,"Frankfurt am Main, Berlin",47.000,69.000,4
12268264,Senior Data Scientist / Senior AI Engineer (mwd),HMS Analytical Software GmbH,Berlin,55.000,83.000,7
12268265,Data Scientist / AI Engineer (mwd),HMS Analytical Software GmbH,"Berlin, Home-Office, bundesweit",53.000,77.000,7
12386303,Senior Data Scientist (all genders),Flaconi GmbH,Berlin-Charlottenburg,65.000,92.000,3
11602249,Senior Data Scientist (m/w/d),S-Payment GmbH - Ein Unternehmen der DSV-Gruppe,Berlin,80.000,90.000,6
11119152,Senior Data Scientist (m/w/d) – Risikomodelle,Sparkassen Rating und Risikosysteme GmbH,Berlin,64.000,86.000,14
12108872,Data Scientist - Berlin (all genders),Digitl GmbH,Berlin,47.000,65.000,1
12389166,Principal Data Scientist | Pricing,OLX Group GmbH,"Berlin, Germany",43.000,63.000,2
12385157,"(Principal) Data Scientist job at Gemma Analytics in Berlin, BERLIN",Gemma Analytics GmbH,"Berlin, Germany",43.000,63.000,3
12427595,Senior Marketing Data Scientist (m/w/d),Jomigo GmbH,Berlin,45.000,63.000,7
12346632,Senior Applied Data Scientist (Remote from EU) job at Pricehubble in Berlin,PriceHubble,"Berlin, Germany",50.000,73.000,7
12086910,Lead Data Scientist (m/f/d),EIDU GmbH,Berlin,51.000,71.000,4
11930105,AI Consultant – GenAI & NLP Public Sector (m/w/d),Sopra Steria,"bundesweit, Berlin, Frankfurt, Hamburg, Köln, Leipzig, München",59.000,90.000,7
12455120,Marketing Data Scientist,N26 GmbH,"Berlin, Germany",42.000,63.000,2
12272044,Consultant (w/m/d) Data Science & AI (all levels),Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",60.000,87.000,5
11265780,Abschlussarbeit im Bereich Datenstrategie und Künstliche Intelligenz,Senacor Technologies AG,"Berlin, Bonn, Frankfurt, Hamburg, München, Nürnberg, Wien",60.000,87.000,7
12181137,(Senior) SAP AI Consultant (m/w/d),Arvato Systems GmbH,"Gütersloh, Köln, Hamburg, Berlin",58.000,89.000,28
12332198,(Junior) Cloud Engineer (m/w/d) Microsoft Azure,Reply,"Berlin, Hamburg, München, Bremen, Köln, Leipzig, Home-Office",45.000,77.000,7
12332205,(Junior) Backend Software Engineer (m/w/d),Reply,"Berlin, Hamburg, München, Bremen, Köln, Leipzig, Home-Office",45.000,75.000,7
12167897,(Senior) Data Scientist (m/f/d),PAUL Tech AG,Berlin,47.000,73.000,1
12304982,(Senior) Data Scientist (m/f/d) in Berlin,PAUL Tech AG,"Berlin, Germany",44.000,73.000,2
12088774,Senior Data Scientist - Pricing Team (6 month contract) (m / f / d),Omio Travel GmbH,Berlin,44.000,73.000,4
12370373,Strategic Partner & Go-to-Market Manager (m/w/x),eBrain Technology Group GmbH,Berlin,3.500,4.200,6
12244155,Senior Data Scientist - Pricing Team (m / f / d),Omio Travel GmbH,Berlin,53.000,73.000,14
12087533,Staff Data Scientist (d/f/m),Aignostics GmbH,Berlin,48.000,67.000,4
12443494,Senior Data Scientist – Marketing Science,On Cloud Service GmbH,"Berlin, Germany",44.000,66.000,5
11646308,(Senior) Consultant Data Strategy & Governance (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,Berlin,44.000,66.000,7
12336329,Senior Consultant – Projektleitung (m/w/d) Real World Insights – Pharma- & Healthcare-Industrie,IQVIA Commercial GmbH & Co. OHG,"Frankfurt am Main, Berlin, München",85.000,95.000,7
12372464,Senior Data Engineer (m/w/d) – C#-Progammierung | SQL-Entwicklung | ELT-Prozesse,Sparkassen Rating und Risikosysteme GmbH,Berlin,62.000,83.000,7
12369334,Produktmanager (m/w/d) SV-Data,Stifterverband für die Deutsche Wissenschaft e.V.,Berlin,62.000,83.000,7
12451106,Senior Machine Learning Engineer - AI Integration Engineer,Lindera GmbH,"Berlin, Germany",47.000,70.000,3
12444054,Software Engineer / 3D Printing (m/f/d),BigRep GmbH,"Berlin, Germany",38.000,58.000,5
12348215,Senior Machine Learning Engineer - AI Integration Engineer,Lindera GmbH,Berlin,50.000,70.000,7
12383646,Senior Security Analyst / Engineer (d/f/m),Aignostics GmbH,"Berlin, Germany",41.000,64.000,3
12087397,Senior Security Analyst / Engineer (d/f/m),Aignostics GmbH,Berlin,42.000,64.000,4
12387151,Staff Machine Learning Research Scientist,Aignostics GmbH,"Berlin, DE",48.000,67.000,2
12283981,GenAI Lead Architekt (m/w/d),accantec consulting AG,Berlin,46.000,64.000,5
12089230,Office Manager (d/f/m),Aignostics GmbH,Berlin,46.000,64.000,4
12335945,Associate/mid-level/Senior AI Technology Consultant,Plan D GmbH,Berlin,38.000,64.000,14
12396825,Clinical Study Data Analyst (f/m/d) Ophthalmology,OD-OS GmbH,Teltow,38.000,55.000,1
12132656,Senior Data Engineer (Databricks),Collaboration Betters The World GmbH,Berlin,50.000,70.000,7
12351994,Business Analyst Baufinanzierung / Mortgage Focus (m/w/d),expertum GmbH,Berlin,50.000,70.000,7
12335821,(Senior) Machine Learning Engineer,Plan D GmbH,Berlin,47.000,70.000,14
12387150,Senior Machine Learning Research Scientist (m/w/d),Aignostics GmbH,"Berlin, DE",51.000,70.000,3
12387148,Senior Machine Learning Engineer (d/f/m),Aignostics GmbH,"Berlin, DE",50.000,70.000,2
12088841,Senior Data Engineer (m/f/d),EIDU GmbH,Berlin,50.000,70.000,4
12269082,Senior Data Engineer,BeeBI Consulting GmbH,"Berlin, Germany",46.000,70.000,7
12387147,Senior Frontend Engineer (m/w/d),Aignostics GmbH,"Berlin, DE",45.000,63.000,2
12219771,Growth Product Manager (all genders),Banxware GmbH,10178 Berlin DE,42.000,59.000,5
12087445,Senior Backend Software Engineer (d/f/m),Aignostics GmbH,Berlin,46.000,64.000,4
12383680,(Senior) Scientific Project Manager (d/f/m),Aignostics GmbH,"Berlin, Germany",43.000,63.000,3
12171505,(Senior) Machine Learning Scientist (f/m/d),Kineo GmbH,Berlin,48.000,70.000,14
12381997,Business & Data Architect (w/m/d) (Strommarkt),50Hertz Transmission GmbH,Berlin,60.000,81.000,4
12271494,"Consultant (w/m/d) Energy, Environment & Telecommunication",Horváth,"Berlin, Düsseldorf, Frankfurt, Hamburg, München, Stuttgart",51.000,76.000,5
12362041,Business und Data Analyst (m/w/d),B&O Service AG,"Berlin, München",49.000,78.000,7
12330635,Data Engineer / Data Architect (m/w/d),ABK Allgemeine Beamten Bank AG,Berlin,53.000,79.000,7
12431916,Data Architect / Datenarchitekt / IT-Architekt Datenmanagement (m/w/d),HAPEKO Deutschland GmbH,"Köln, Berlin",80.000,90.000,7
11713465,Data Engineer* / Machine Learning Engineer*,inovex GmbH,"Karlsruhe, Köln, München, Hamburg, Stuttgart, Pforzheim, Berlin, Erlangen",60.000,70.000,14
12215579,Big Data Engineer Scala (m/w/d),INFOMOTION GmbH,"Frankfrt am Main, Köln, Stuttgart, München, Berlin, Dresden, Hamburg, Saarbrücken, Wien",70.000,90.000,21
12215730,Senior BI Data Engineer (m/w/d) in einem Cloud-Native-Stack,PROSOZ Herten GmbH,"Home Office, bundesweit - Frankfurt am Main, Berlin, Dresden, München, Leipzig, Köln, Düsseldorf",53.000,85.000,21
12382677,(Senior) Data Engineer (m/w/d) DWH,Verti Versicherung AG,Teltow bei Berlin,49.000,84.000,3
12415604,Senior Data Engineer w/m/d am Standort Berlin,Quirin Privatbank AG,Berlin,62.000,83.000,7
11641408,Senior Consultant Data Management (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,"Berlin, München, Köln, Hamburg, Frankfurt, Düsseldorf, Hannover, Bielefeld, Dortmund, Münster",62.000,83.000,7
12335672,Atlassian Solutions Engineer (m/w/d),Bundesnotarkammer,Berlin,50.000,69.000,7
10481544,Senior Data Engineer* / Machine Learning Engineer*,inovex GmbH,"Karlsruhe, Köln, München, Hamburg, Stuttgart, Pforzheim, Berlin, Erlangen",75.000,85.000,14
12328280,Senior Machine Learning Engineer (m/w/d),BWI GmbH,"bundesweit, Berlin, Frankfurt, Hamburg, München, Nürnberg, Ulm, Bonn, Leipzig",58.000,92.000,14
12222778,Senior Consultant M&A Analytics - Transaction Services (m/w/d),Deloitte,"München, Hamburg, Frankfurt (Main), Berlin, Düsseldorf",58.000,92.000,14
12272994,Computer scientist at X-Visual,X-Visual Technologies GmbH,"Berlin, Germany",42.000,62.000,7
12464256,Machine Learning Engineer / Python developer,Qdrant Solutions GmbH,Berlin,44.000,66.000,1
12457707,Senior Data & AI Consultant,Endava Berlin GmbH,Berlin,46.000,64.000,3
12449117,Senior Data & AI Consultant,Endava Berlin GmbH,Berlin,46.000,64.000,4
12300724,"Business Data Analyst, Remote Job, February 2025",Sumsub GmbH,"Berlin, Germany",41.000,61.000,4
12097018,Working Student AI Agent Solutions Engineer (m/f/d),Beam GmbH,Berlin,41.000,61.000,3
12293092,Search Solutions Engineer,Qdrant Solutions GmbH,Berlin,46.000,65.000,5
12219678,Pre-Sales Solutions Engineer (f/m/d) - Berlin,Hygraph GmbH,Berlin,43.000,61.000,5
12374119,Statistiken der EKD,Bundesverband evangelische Behindertenhilfe e.V.,"Berlin, Deutschland",40.000,60.000,6
